chapter,preferred_name,canonical_smiles,chemillusion_source_names,aliases_checked,matched_aliases_in_openstax,identical_molecule_named_in_openstax
18,Anisole (methoxybenzene),COc1ccccc1,Anisole (methoxybenzene),Anisole | Anisole (methoxybenzene) | methoxybenzene,Anisole,True
18,Butyl methyl ether,CCCCOC,Butyl methyl ether,Butyl methyl ether,Butyl methyl ether,True
18,"cis-2,3-Dimethyloxirane",C[C@@H]1O[C@@H]1C,"cis-2,3-Dimethyloxirane","cis-2,3-Dimethyloxirane",,False
18,Diethyl ether,CCOCC,Diethyl ether,Diethyl ether,Diethyl ether,True
18,Dimethyl disulfide,CSSC,Dimethyl disulfide,Dimethyl disulfide,,False
18,Dimethyl sulfide,CSC,Dimethyl sulfide,Dimethyl sulfide,,False
18,Dimethyl sulfone,CS(C)(=O)=O,Dimethyl sulfone,Dimethyl sulfone,,False
18,Dimethyl sulfoxide (DMSO),CS(C)=O,Dimethyl sulfoxide (DMSO),DMSO | Dimethyl sulfoxide | Dimethyl sulfoxide (DMSO),DMSO | Dimethyl sulfoxide | Dimethyl sulfoxide (DMSO),True
18,Ethanethiol,CCS,Ethanethiol,Ethanethiol,Ethanethiol,True
18,Ethylene oxide (oxirane),C1CO1,Ethylene oxide (oxirane),Ethylene oxide | Ethylene oxide (oxirane) | oxirane,Ethylene oxide,True
18,meta-Chloroperoxybenzoic acid (mCPBA),O=C(OO)c1cccc(Cl)c1,meta-Chloroperoxybenzoic acid (mCPBA),mCPBA | meta-Chloroperoxybenzoic acid | meta-Chloroperoxybenzoic acid (mCPBA),,False
18,tert-Butyl methyl ether,COC(C)(C)C,tert-Butyl methyl ether,tert-Butyl methyl ether,tert-Butyl methyl ether,True
18,Tetrahydrofuran (THF),C1CCOC1,Tetrahydrofuran (THF),THF | Tetrahydrofuran | Tetrahydrofuran (THF),THF | Tetrahydrofuran | Tetrahydrofuran (THF),True
18,"trans-1,2-Cyclohexanediol",O[C@H]1CCCC[C@@H]1O,"trans-1,2-Cyclohexanediol","trans-1,2-Cyclohexanediol",,False
18,Trimethylsulfonium ion,C[S+](C)C,Trimethylsulfonium ion,Trimethylsulfonium ion,,False
19,1-Phenylethanol from benzaldehyde plus CH₃MgBr,CC(O)c1ccccc1,1-Phenylethanol from benzaldehyde plus CH₃MgBr,1-Phenylethanol from benzaldehyde plus CH3MgBr,,False
19,"Acetaldehyde, the simplest common aldehyde",CC=O,"Acetaldehyde, the simplest common aldehyde","Acetaldehyde, the simplest common aldehyde",,False
19,Acetone cyanohydrin,CC(C)(O)C#N,Acetone cyanohydrin,Acetone cyanohydrin,,False
19,"Acetone, the simplest ketone",CC(C)=O,"Acetone, the simplest ketone","Acetone, the simplest ketone",,False
19,"Benzaldehyde, a conjugated aromatic aldehyde",O=Cc1ccccc1,"Benzaldehyde, a conjugated aromatic aldehyde","Benzaldehyde, a conjugated aromatic aldehyde",,False
19,"Benzoic acid, the oxidation product of benzaldehyde",O=C(O)c1ccccc1,"Benzoic acid, the oxidation product of benzaldehyde","Benzoic acid, the oxidation product of benzaldehyde",,False
19,"Chloral hydrate, a stable gem-diol",OC(O)C(Cl)(Cl)Cl,"Chloral hydrate, a stable gem-diol","Chloral hydrate, a stable gem-diol",,False
19,"Cyclohexanone, a cyclic ketone",O=C1CCCCC1,"Cyclohexanone, a cyclic ketone","Cyclohexanone, a cyclic ketone",,False
19,"Methyl vinyl ketone, an alpha,beta-unsaturated ketone",C=CC(C)=O,"Methyl vinyl ketone, an alpha,beta-unsaturated ketone","Methyl vinyl ketone, an alpha,beta-unsaturated ketone",,False
19,"Methylenecyclohexane, a Wittig product",C=C1CCCCC1,"Methylenecyclohexane, a Wittig product","Methylenecyclohexane, a Wittig product",,False
19,The cyclic acetal of cyclohexanone and ethylene glycol,C1CCC2(CC1)OCCO2,The cyclic acetal of cyclohexanone and ethylene glycol,The cyclic acetal of cyclohexanone and ethylene glycol,,False
19,The N-methylimine of cyclohexanone,CN=C1CCCCC1,The N-methylimine of cyclohexanone,The N-methylimine of cyclohexanone,,False
19,The pyrrolidine enamine of cyclohexanone,C1=C(N2CCCC2)CCCC1,The pyrrolidine enamine of cyclohexanone,The pyrrolidine enamine of cyclohexanone,,False
20,4-Methoxybenzoic acid,COc1ccc(C(=O)O)cc1,4-Methoxybenzoic acid,4-Methoxybenzoic acid,,False
20,4-Nitrobenzoic acid,O=C(O)c1ccc([N+](=O)[O-])cc1,4-Nitrobenzoic acid,4-Nitrobenzoic acid,,False
20,"Acetate ion, the conjugate base of acetic acid",CC(=O)[O-],"Acetate ion, the conjugate base of acetic acid","Acetate ion, the conjugate base of acetic acid",,False
20,"Acetic acid, the parent carboxylic acid",CC(=O)O,"Acetic acid, the parent carboxylic acid","Acetic acid, the parent carboxylic acid",,False
20,"Acetonitrile, the simplest common nitrile",CC#N,"Acetonitrile, the simplest common nitrile","Acetonitrile, the simplest common nitrile",,False
20,"Acetophenone, from benzonitrile and a Grignard reagent",CC(=O)c1ccccc1,"Acetophenone, from benzonitrile and a Grignard reagent","Acetophenone, from benzonitrile and a Grignard reagent",,False
20,"Benzoic acid, a carboxyl group on an aromatic ring",O=C(O)c1ccccc1,"Benzoic acid, a carboxyl group on an aromatic ring","Benzoic acid, a carboxyl group on an aromatic ring",,False
20,Benzonitrile,N#Cc1ccccc1,Benzonitrile,Benzonitrile,,False
20,"Butan-1-amine, the reduction product of butanenitrile",CCCCN,"Butan-1-amine, the reduction product of butanenitrile","Butan-1-amine, the reduction product of butanenitrile",,False
20,Butanoic acid,CCCC(=O)O,Butanoic acid,Butanoic acid,Butanoic acid,True
20,Chloroacetic acid,O=C(O)CCl,Chloroacetic acid,Chloroacetic acid,,False
20,"Hexanedioic acid, a dicarboxylic acid",O=C(O)CCCCC(=O)O,"Hexanedioic acid, a dicarboxylic acid","Hexanedioic acid, a dicarboxylic acid",,False
20,Pentanenitrile,CCCCC#N,Pentanenitrile,Pentanenitrile,,False
20,"Pentanoic acid, the five-carbon product of a four-carbon halide",CCCCC(=O)O,"Pentanoic acid, the five-carbon product of a four-carbon halide","Pentanoic acid, the five-carbon product of a four-carbon halide",,False
20,"Propanoic acid, a spectroscopic reference",CCC(=O)O,"Propanoic acid, a spectroscopic reference","Propanoic acid, a spectroscopic reference",,False
20,"Sodium acetate, a carboxylate salt",CC(=O)[O-].[Na+],"Sodium acetate, a carboxylate salt","Sodium acetate, a carboxylate salt",,False
20,"Toluene, the substrate for side-chain oxidation",Cc1ccccc1,"Toluene, the substrate for side-chain oxidation","Toluene, the substrate for side-chain oxidation",,False
20,Trifluoroacetic acid,O=C(O)C(F)(F)F,Trifluoroacetic acid,Trifluoroacetic acid,Trifluoroacetic acid,True
21,2-Phenylpropan-2-ol: the tertiary alcohol from an ester and a Grignard reagent,CC(C)(O)c1ccccc1,2-Phenylpropan-2-ol: the tertiary alcohol from an ester and a Grignard reagent,2-Phenylpropan-2-ol: the tertiary alcohol from an ester and a Grignard reagent,,False
21,"Acetamide, a primary amide",CC(N)=O,"Acetamide, a primary amide","Acetamide, a primary amide",,False
21,Acetic anhydride: two acyl groups sharing one oxygen,CC(=O)OC(C)=O,Acetic anhydride: two acyl groups sharing one oxygen,Acetic anhydride: two acyl groups sharing one oxygen,,False
21,"Acetyl chloride, the most reactive derivative",CC(=O)Cl,"Acetyl chloride, the most reactive derivative","Acetyl chloride, the most reactive derivative",,False
21,"Acetyl phosphate, the other biological activated acyl group",CC(=O)OP(=O)(O)O,"Acetyl phosphate, the other biological activated acyl group","Acetyl phosphate, the other biological activated acyl group",,False
21,"Adipic acid, one half of nylon 66",O=C(O)CCCCC(=O)O,"Adipic acid, one half of nylon 66","Adipic acid, one half of nylon 66",,False
21,Aspirin: an acetyl group delivered by an anhydride,CC(=O)Oc1ccccc1C(=O)O,Aspirin: an acetyl group delivered by an anhydride,Aspirin: an acetyl group delivered by an anhydride,,False
21,Benzamide: hydrolysis and reduction of a primary amide,NC(=O)c1ccccc1,Benzamide: hydrolysis and reduction of a primary amide,Benzamide: hydrolysis and reduction of a primary amide,,False
21,"Benzoic acid: the starting point, too low on the ladder to acylate an amine",O=C(O)c1ccccc1,"Benzoic acid: the starting point, too low on the ladder to acylate an amine","Benzoic acid: the starting point, too low on the ladder to acylate an amine",,False
21,"Benzoyl chloride, the acylating agent for benzamides and benzoate esters",O=C(Cl)c1ccccc1,"Benzoyl chloride, the acylating agent for benzamides and benzoate esters","Benzoyl chloride, the acylating agent for benzamides and benzoate esters",,False
21,Caprolactam: one monomer that carries both partners,O=C1CCCCCN1,Caprolactam: one monomer that carries both partners,Caprolactam: one monomer that carries both partners,,False
21,"Hexane-1,6-diamine, the other half of nylon 66",NCCCCCCN,"Hexane-1,6-diamine, the other half of nylon 66","Hexane-1,6-diamine, the other half of nylon 66",,False
21,"Methyl acetate, the reference ester",COC(C)=O,"Methyl acetate, the reference ester","Methyl acetate, the reference ester",,False
21,Methyl propanoate: naming an ester from both of its parts,CCC(=O)OC,Methyl propanoate: naming an ester from both of its parts,Methyl propanoate: naming an ester from both of its parts,,False
21,"N-Methylacetamide, a secondary amide",CNC(C)=O,"N-Methylacetamide, a secondary amide","N-Methylacetamide, a secondary amide",,False
21,"N-Methylbenzamide: the target, reached by running back down the ladder",CNC(=O)c1ccccc1,"N-Methylbenzamide: the target, reached by running back down the ladder","N-Methylbenzamide: the target, reached by running back down the ladder",,False
21,"S-Methyl thioacetate, a model thioester",CSC(C)=O,"S-Methyl thioacetate, a model thioester","S-Methyl thioacetate, a model thioester",,False
21,Sodium stearate: the soap obtained by saponifying a fat,CCCCCCCCCCCCCCCCCC(=O)[O-].[Na+],Sodium stearate: the soap obtained by saponifying a fat,Sodium stearate: the soap obtained by saponifying a fat,,False
21,Succinic anhydride: a cyclic anhydride whose leaving group cannot escape,O=C1CCC(=O)O1,Succinic anhydride: a cyclic anhydride whose leaving group cannot escape,Succinic anhydride: a cyclic anhydride whose leaving group cannot escape,,False
21,"Terephthalic acid, the diacid of poly(ethylene terephthalate)",O=C(O)c1ccc(C(=O)O)cc1,"Terephthalic acid, the diacid of poly(ethylene terephthalate)","Terephthalic acid, the diacid of poly | Terephthalic acid, the diacid of poly(ethylene terephthalate)",,False
21,The tetrahedral intermediate from methoxide and acetyl chloride,COC(C)([O-])Cl,The tetrahedral intermediate from methoxide and acetyl chloride,The tetrahedral intermediate from methoxide and acetyl chloride,,False
21,"γ-Butyrolactone, a cyclic ester",O=C1CCCO1,"γ-Butyrolactone, a cyclic ester","γ-Butyrolactone, a cyclic ester",,False
22,"2,4-Pentanedione: a doubly activated CH₂",CC(=O)CC(C)=O,"2,4-Pentanedione: a doubly activated CH₂","2,4-Pentanedione: a doubly activated CH2",,False
22,2-Bromocyclohexanone: the monobromination product,O=C1CCCCC1Br,2-Bromocyclohexanone: the monobromination product,2-Bromocyclohexanone: the monobromination product,,False
22,2-Bromopropanoic acid: a Hell-Volhard-Zelinskii product,CC(Br)C(=O)O,2-Bromopropanoic acid: a Hell-Volhard-Zelinskii product,2-Bromopropanoic acid: a Hell-Volhard-Zelinskii product,,False
22,2-Methylcyclohexanone: two different alpha carbons,CC1CCCCC1=O,2-Methylcyclohexanone: two different alpha carbons,2-Methylcyclohexanone: two different alpha carbons,,False
22,4-Phenyl-2-butanone: an acetoacetic ester synthesis product,CC(=O)CCc1ccccc1,4-Phenyl-2-butanone: an acetoacetic ester synthesis product,4-Phenyl-2-butanone: an acetoacetic ester synthesis product,,False
22,Acetone: the keto tautomer,CC(C)=O,Acetone: the keto tautomer,Acetone: the keto tautomer,,False
22,Acetophenone: a methyl ketone,CC(=O)c1ccccc1,Acetophenone: a methyl ketone,Acetophenone: a methyl ketone,,False
22,Benzyl bromide: an ideal alkylating agent,BrCc1ccccc1,Benzyl bromide: an ideal alkylating agent,Benzyl bromide: an ideal alkylating agent,,False
22,Cyclohex-2-enone: the elimination product,O=C1C=CCCC1,Cyclohex-2-enone: the elimination product,Cyclohex-2-enone: the elimination product,,False
22,Diethyl malonate: two esters flanking one CH₂,CCOC(=O)CC(=O)OCC,Diethyl malonate: two esters flanking one CH₂,Diethyl malonate: two esters flanking one CH2,,False
22,Ethyl acetate: a singly activated ester,CCOC(C)=O,Ethyl acetate: a singly activated ester,Ethyl acetate: a singly activated ester,,False
22,Ethyl acetoacetate: ketone and ester on one carbon,CCOC(=O)CC(C)=O,Ethyl acetoacetate: ketone and ester on one carbon,Ethyl acetoacetate: ketone and ester on one carbon,,False
22,Iodoform: the yellow precipitate,IC(I)I,Iodoform: the yellow precipitate,Iodoform: the yellow precipitate,,False
22,Lithium diisopropylamide (LDA),CC(C)[N-]C(C)C.[Li+],Lithium diisopropylamide (LDA),LDA | Lithium diisopropylamide | Lithium diisopropylamide (LDA),LDA | Lithium diisopropylamide | Lithium diisopropylamide (LDA),True
22,Pentanoic acid: a malonic ester synthesis product,CCCCC(=O)O,Pentanoic acid: a malonic ester synthesis product,Pentanoic acid: a malonic ester synthesis product,,False
22,Prop-1-en-2-ol: the enol of acetone,C=C(C)O,Prop-1-en-2-ol: the enol of acetone,Prop-1-en-2-ol: the enol of acetone,,False
22,"The enol of 2,4-pentanedione",CC(=O)C=C(C)O,"The enol of 2,4-pentanedione","The enol of 2,4-pentanedione",,False
22,The enol of cyclohexanone,OC1=CCCCC1,The enol of cyclohexanone,The enol of cyclohexanone,,False
22,"The enolate of acetone, drawn with the charge on oxygen",C=C(C)[O-],"The enolate of acetone, drawn with the charge on oxygen","The enolate of acetone, drawn with the charge on oxygen",,False
22,The kinetic enolate of 2-methylcyclohexanone,CC1CCCC=C1[O-],The kinetic enolate of 2-methylcyclohexanone,The kinetic enolate of 2-methylcyclohexanone,,False
22,The thermodynamic enolate of 2-methylcyclohexanone,CC1=C([O-])CCCC1,The thermodynamic enolate of 2-methylcyclohexanone,The thermodynamic enolate of 2-methylcyclohexanone,,False
23,(E)-4-Phenylbut-3-en-2-one: a clean mixed aldol condensation product,CC(=O)/C=C/c1ccccc1,(E)-4-Phenylbut-3-en-2-one: a clean mixed aldol condensation product,(E)-4-Phenylbut-3-en-2-one: a clean mixed aldol condensation product,,False
23,(E)-But-2-enal: the enone from dehydrating the acetaldehyde aldol,C/C=C/C=O,(E)-But-2-enal: the enone from dehydrating the acetaldehyde aldol,(E)-But-2-enal: the enone from dehydrating the acetaldehyde aldol,,False
23,"1-(Cyclohex-1-en-1-yl)pyrrolidine: the enamine, a neutral enolate equivalent",C1=C(N2CCCC2)CCCC1,"1-(Cyclohex-1-en-1-yl)pyrrolidine: the enamine, a neutral enolate equivalent","1- pyrrolidine: the enamine, a neutral enolate equivalent | 1-(Cyclohex-1-en-1-yl)pyrrolidine: the enamine, a neutral enolate equivalent | Cyclohex-1-en-1-yl",,False
23,2-(3-Oxobutyl)cyclohexan-1-one: the Stork product after hydrolysis,CC(=O)CCC1CCCCC1=O,2-(3-Oxobutyl)cyclohexan-1-one: the Stork product after hydrolysis,2- cyclohexan-1-one: the Stork product after hydrolysis | 2-(3-Oxobutyl)cyclohexan-1-one: the Stork product after hydrolysis | 3-Oxobutyl,,False
23,"2-Methylcyclohexane-1,3-dione: a doubly activated Robinson donor",CC1C(=O)CCCC1=O,"2-Methylcyclohexane-1,3-dione: a doubly activated Robinson donor","2-Methylcyclohexane-1,3-dione: a doubly activated Robinson donor",,False
23,3-Hydroxybutanal: the aldol product of acetaldehyde,CC(O)CC=O,3-Hydroxybutanal: the aldol product of acetaldehyde,3-Hydroxybutanal: the aldol product of acetaldehyde,,False
23,3-Methylcyclohex-2-enone: the six-membered condensation product,CC1=CC(=O)CCC1,3-Methylcyclohex-2-enone: the six-membered condensation product,3-Methylcyclohex-2-enone: the six-membered condensation product,,False
23,3-Methylcyclopent-2-enone: the five-membered condensation product,CC1=CC(=O)CC1,3-Methylcyclopent-2-enone: the five-membered condensation product,3-Methylcyclopent-2-enone: the five-membered condensation product,,False
23,4-Hydroxy-4-methylpentan-2-one: the acetone aldol product,CC(=O)CC(C)(C)O,4-Hydroxy-4-methylpentan-2-one: the acetone aldol product,4-Hydroxy-4-methylpentan-2-one: the acetone aldol product,,False
23,4-Methylpent-3-en-2-one: dehydration rescues the ketone condensation,CC(=O)C=C(C)C,4-Methylpent-3-en-2-one: dehydration rescues the ketone condensation,4-Methylpent-3-en-2-one: dehydration rescues the ketone condensation,,False
23,Acetaldehyde: a partner that can play both roles,CC=O,Acetaldehyde: a partner that can play both roles,Acetaldehyde: a partner that can play both roles,,False
23,Acetone: a ketone whose aldol equilibrium runs backward,CC(C)=O,Acetone: a ketone whose aldol equilibrium runs backward,Acetone: a ketone whose aldol equilibrium runs backward,,False
23,Benzaldehyde: an acceptor that cannot compete as a donor,O=Cc1ccccc1,Benzaldehyde: an acceptor that cannot compete as a donor,Benzaldehyde: an acceptor that cannot compete as a donor,,False
23,But-3-en-2-one (methyl vinyl ketone): a conjugate acceptor,C=CC(C)=O,But-3-en-2-one (methyl vinyl ketone): a conjugate acceptor,But-3-en-2-one (methyl vinyl ketone): a conjugate acceptor | But-3-en-2-one : a conjugate acceptor | methyl vinyl ketone,,False
23,Cyclohexanone: the ketone that becomes an enamine,O=C1CCCCC1,Cyclohexanone: the ketone that becomes an enamine,Cyclohexanone: the ketone that becomes an enamine,,False
23,"Diethyl hexanedioate: a 1,6-diester poised for five-membered closure",CCOC(=O)CCCCC(=O)OCC,"Diethyl hexanedioate: a 1,6-diester poised for five-membered closure","Diethyl hexanedioate: a 1,6-diester poised for five-membered closure",,False
23,Diethyl malonate: the archetypal Michael donor,CCOC(=O)CC(=O)OCC,Diethyl malonate: the archetypal Michael donor,Diethyl malonate: the archetypal Michael donor,,False
23,Ethyl 2-oxocyclopentane-1-carboxylate: the Dieckmann product,CCOC(=O)C1CCCC1=O,Ethyl 2-oxocyclopentane-1-carboxylate: the Dieckmann product,Ethyl 2-oxocyclopentane-1-carboxylate: the Dieckmann product,,False
23,Ethyl acetate: an ester carries a leaving group its aldol counterpart lacks,CCOC(C)=O,Ethyl acetate: an ester carries a leaving group its aldol counterpart lacks,Ethyl acetate: an ester carries a leaving group its aldol counterpart lacks,,False
23,Ethyl acetoacetate: the beta-keto ester from the Claisen condensation,CCOC(=O)CC(C)=O,Ethyl acetoacetate: the beta-keto ester from the Claisen condensation,Ethyl acetoacetate: the beta-keto ester from the Claisen condensation,,False
23,"Heptane-2,6-dione: a 1,5-diketone that closes a six-membered ring",CC(=O)CCCC(C)=O,"Heptane-2,6-dione: a 1,5-diketone that closes a six-membered ring","Heptane-2,6-dione: a 1,5-diketone that closes a six-membered ring",,False
23,"Hexane-2,5-dione: a 1,4-diketone that closes a five-membered ring",CC(=O)CCC(C)=O,"Hexane-2,5-dione: a 1,4-diketone that closes a five-membered ring","Hexane-2,5-dione: a 1,4-diketone that closes a five-membered ring",,False
23,The acetaldehyde enolate: the donor half of every aldol,[CH2-]C=O,The acetaldehyde enolate: the donor half of every aldol,The acetaldehyde enolate: the donor half of every aldol,,False
23,The bicyclic enone from the Robinson annulation,CC12CCC(=O)C=C1CCCC2=O,The bicyclic enone from the Robinson annulation,The bicyclic enone from the Robinson annulation,,False
24,(sec-Butyl)trimethylammonium ion: the manufactured leaving group,CCC(C)[N+](C)(C)C,(sec-Butyl)trimethylammonium ion: the manufactured leaving group,(sec-Butyl)trimethylammonium ion: the manufactured leaving group | sec-Butyl | trimethylammonium ion: the manufactured leaving group,,False
24,1-Butene: the Hofmann product,C=CCC,1-Butene: the Hofmann product,1-Butene: the Hofmann product,,False
24,Acetamide: a nitrogen that is not a base,CC(N)=O,Acetamide: a nitrogen that is not a base,Acetamide: a nitrogen that is not a base,,False
24,"Aniline: the parent arylamine, pKaH 4.6",Nc1ccccc1,"Aniline: the parent arylamine, pKaH 4.6","Aniline: the parent arylamine, pKaH 4.6",,False
24,Benzenediazonium ion: nitrogen poised to leave,N#[N+]c1ccccc1,Benzenediazonium ion: nitrogen poised to leave,Benzenediazonium ion: nitrogen poised to leave,,False
24,Benzonitrile: the Sandmeyer cyanation product,N#Cc1ccccc1,Benzonitrile: the Sandmeyer cyanation product,Benzonitrile: the Sandmeyer cyanation product,,False
24,Butan-1-amine: the clean product of the masked-nitrogen routes,CCCCN,Butan-1-amine: the clean product of the masked-nitrogen routes,Butan-1-amine: the clean product of the masked-nitrogen routes,,False
24,"Butyl azide: nitrogen installed, appetite gone",CCCCN=[N+]=[N-],"Butyl azide: nitrogen installed, appetite gone","Butyl azide: nitrogen installed, appetite gone",,False
24,Cyclohexanone: the carbonyl partner in a reductive amination,O=C1CCCCC1,Cyclohexanone: the carbonyl partner in a reductive amination,Cyclohexanone: the carbonyl partner in a reductive amination,,False
24,"Cyclohexylamine: an alkylamine benchmark, pKaH 10.7",NC1CCCCC1,"Cyclohexylamine: an alkylamine benchmark, pKaH 10.7","Cyclohexylamine: an alkylamine benchmark, pKaH 10.7",,False
24,Histamine: an imidazole your immune system deploys,NCCc1c[nH]cn1,Histamine: an imidazole your immune system deploys,Histamine: an imidazole your immune system deploys,,False
24,Imidazole: one nitrogen of each kind,c1c[nH]cn1,Imidazole: one nitrogen of each kind,Imidazole: one nitrogen of each kind,,False
24,Methylamine: the simplest primary amine,CN,Methylamine: the simplest primary amine,Methylamine: the simplest primary amine,,False
24,"N-Methylcyclohexylamine: cyclohexanone plus methylamine, reduced",CNC1CCCCC1,"N-Methylcyclohexylamine: cyclohexanone plus methylamine, reduced","N-Methylcyclohexylamine: cyclohexanone plus methylamine, reduced",,False
24,Nitrobenzene: the gateway to every arylamine,O=[N+]([O-])c1ccccc1,Nitrobenzene: the gateway to every arylamine,Nitrobenzene: the gateway to every arylamine,,False
24,p-(Phenyldiazenyl)phenol: an azo dye from diazonium coupling,Oc1ccc(/N=N/c2ccccc2)cc1,p-(Phenyldiazenyl)phenol: an azo dye from diazonium coupling,Phenyldiazenyl | p- phenol: an azo dye from diazonium coupling | p-(Phenyldiazenyl)phenol: an azo dye from diazonium coupling,,False
24,p-Nitroaniline: an electron-withdrawing group deepens the discount,Nc1ccc([N+](=O)[O-])cc1,p-Nitroaniline: an electron-withdrawing group deepens the discount,p-Nitroaniline: an electron-withdrawing group deepens the discount,,False
24,Phthalimide: the Gabriel synthesis' masked nitrogen,O=C1NC(=O)c2ccccc21,Phthalimide: the Gabriel synthesis' masked nitrogen,Phthalimide: the Gabriel synthesis' masked nitrogen,,False
24,Pyridine: aromatic with the lone pair left over,c1ccncc1,Pyridine: aromatic with the lone pair left over,Pyridine: aromatic with the lone pair left over,,False
24,Pyrrole: the lone pair belongs to the ring,c1cc[nH]c1,Pyrrole: the lone pair belongs to the ring,Pyrrole: the lone pair belongs to the ring,,False
24,Quinoline: pyridine wearing a benzo ring,c1ccc2ncccc2c1,Quinoline: pyridine wearing a benzo ring,Quinoline: pyridine wearing a benzo ring,,False
24,sec-Butylamine: the Hofmann elimination's starting amine,CCC(C)N,sec-Butylamine: the Hofmann elimination's starting amine,sec-Butylamine: the Hofmann elimination's starting amine,,False
24,tert-Butylamine: a primary amine on a tertiary carbon,CC(C)(C)N,tert-Butylamine: a primary amine on a tertiary carbon,tert-Butylamine: a primary amine on a tertiary carbon,,False
24,"Tetramethylammonium ion: quaternary, charged, and not an amine",C[N+](C)(C)C,"Tetramethylammonium ion: quaternary, charged, and not an amine","Tetramethylammonium ion: quaternary, charged, and not an amine",,False
24,Triethylamine: a tertiary amine,CCN(CC)CC,Triethylamine: a tertiary amine,Triethylamine: a tertiary amine,,False
25,2-Deoxy-D-ribose,O=CC[C@H](O)[C@H](O)CO,2-Deoxy-D-ribose,2-Deoxy-D-ribose,,False
25,5-Hydroxypentanal: a sugar-free model of ring closure,O=CCCCCO,5-Hydroxypentanal: a sugar-free model of ring closure,5-Hydroxypentanal: a sugar-free model of ring closure,,False
25,"Cellobiose: the same two sugars, a β-1,4 linkage",OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,"Cellobiose: the same two sugars, a β-1,4 linkage","Cellobiose: the same two sugars, a β-1,4 linkage",,False
25,D-Erythrose: both hydroxyls on the right,O=C[C@H](O)[C@H](O)CO,D-Erythrose: both hydroxyls on the right,D-Erythrose: both hydroxyls on the right,,False
25,"D-Fructose, open-chain form: a ketohexose",O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,"D-Fructose, open-chain form: a ketohexose","D-Fructose, open-chain form: a ketohexose",,False
25,D-Galactose: the C4 epimer of D-glucose,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,D-Galactose: the C4 epimer of D-glucose,D-Galactose: the C4 epimer of D-glucose,,False
25,D-Glucaric acid: the aldaric acid from oxidizing both ends,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O,D-Glucaric acid: the aldaric acid from oxidizing both ends,D-Glucaric acid: the aldaric acid from oxidizing both ends,,False
25,D-Glucitol (sorbitol): the alditol from reducing D-glucose,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,D-Glucitol (sorbitol): the alditol from reducing D-glucose,D-Glucitol (sorbitol): the alditol from reducing D-glucose | D-Glucitol : the alditol from reducing D-glucose | sorbitol,sorbitol,True
25,D-Gluconic acid: the aldonic acid from oxidizing C1,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-Gluconic acid: the aldonic acid from oxidizing C1,D-Gluconic acid: the aldonic acid from oxidizing C1,,False
25,"D-Glucose, open-chain form: the reference aldohexose",O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,"D-Glucose, open-chain form: the reference aldohexose","D-Glucose, open-chain form: the reference aldohexose",,False
25,D-Glyceraldehyde: the smallest chiral aldose,O=C[C@H](O)CO,D-Glyceraldehyde: the smallest chiral aldose,D-Glyceraldehyde: the smallest chiral aldose,,False
25,D-Mannose: the C2 epimer of D-glucose,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-Mannose: the C2 epimer of D-glucose,D-Mannose: the C2 epimer of D-glucose,,False
25,D-Threose: the C2 epimer of D-erythrose,O=C[C@@H](O)[C@H](O)CO,D-Threose: the C2 epimer of D-erythrose,D-Threose: the C2 epimer of D-erythrose,,False
25,Dihydroxyacetone: the achiral ketotriose,O=C(CO)CO,Dihydroxyacetone: the achiral ketotriose,Dihydroxyacetone: the achiral ketotriose,,False
25,L-Glucose: every stereocenter inverted,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,L-Glucose: every stereocenter inverted,L-Glucose: every stereocenter inverted,,False
25,L-Glyceraldehyde: the mirror image reference,O=C[C@@H](O)CO,L-Glyceraldehyde: the mirror image reference,L-Glyceraldehyde: the mirror image reference,,False
25,"Lactose: a β-1,4 linkage between galactose and glucose",OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,"Lactose: a β-1,4 linkage between galactose and glucose","Lactose: a β-1,4 linkage between galactose and glucose",,False
25,"Maltose: an α-1,4 linked glucose dimer",OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,"Maltose: an α-1,4 linked glucose dimer","Maltose: an α-1,4 linked glucose dimer",,False
25,Methyl α-D-glucopyranoside,CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Methyl α-D-glucopyranoside,Methyl α-D-glucopyranoside,,False
25,Methyl β-D-glucopyranoside,CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Methyl β-D-glucopyranoside,Methyl β-D-glucopyranoside,,False
